name,abbreviation,locale,country,track_name,is_active,latitude,longitude
POCATELLO DOWNS,POD,ID,US,POCATELLO DOWNS,,42.914069,-112.432623
PORTLAND MEADOWS,PM,OR,US,PORTLAND MEADOWS,1,45.592824,-122.674575
PRAIRIE MEADOWS,PRM,IA,US,PRAIRIE MEADOWS,1,41.654783,-93.488403
PRESQUE ISLE DOWNS,PID,PA,US,PRESQUE ISLE DOWNS,1,42.066459,-80.036529
RED BANK,RB,NJ,US,RED BANK,,40.31481,-74.062099
RED MILE,RDM,KY,US,RED MILE,,38.04052,-84.517694
REMINGTON PARK,RP,OK,US,REMINGTON PARK,1,35.52866,-97.46899
RETAMA PARK,RET,TX,US,RETAMA PARK,1,29.580996,-98.31356
RILLITO,RIL,AZ,US,RILLITO PARK RACE TRACK,1,32.289929,-110.956364
RIVER DOWNS,RD,OH,US,RIVER DOWNS,,39.051785,-84.412851
ROCKINGHAM PARK,RKM,,US,ROCKINGHAM PARK,,,
ROSSBURN PARKLAND DOWNS,RPD,,CA,ROSSBURN PARKLAND DOWNS,,,
RUIDOSO DOWNS,RUI,NM,US,RUIDOSO DOWNS,1,33.35933,-105.547047
SACRAMENTO,SAC,CA,US,SACRAMENTO,,,
SAM HOUSTON RACE PARK,HOU,TX,US,SAM HOUSTON RACE PARK,1,29.929195,-95.528922
SAN LUIS REY TRAINING CENTER,SLR,CA,US,SAN LUIS REY TRAINING CENTER,,33.288207,-117.203007
SANDY DOWNS,SDY,ID,US,SANDY DOWNS,,43.435034,-112.003813
SANTA ANITA PARK,SA,CA,US,SANTA ANITA PARK,1,34.140509,-118.045735
SANTA CRUZ COUNTY FAIR @ SONOITA,SON,CA,US,SANTA CRUZ COUNTY FAIR @ SONOITA,,36.951332,-121.735983
SANTA FE,SFE,,US,SANTA FE,,,
SANTA ROSA,SR,CA,US,SANTA ROSA,,38.433018,-122.701063
SARATOGA,SAR,NY,US,SARATOGA RACE COURSE,1,43.074458,-73.766954
